,train_loss,train_acc,valid_loss,valid_acc,lr
0,0.9768986680791988,0.6791654919650408,0.6964761186496112,0.7666290868094702,5e-05
1,0.5920900844640385,0.8123061742317451,0.5655137919469105,0.8159526493799324,5e-05
2,0.4226927344162413,0.8640400338314068,0.6463197456691687,0.7945321307779031,5e-05
3,0.30313303454773577,0.9047082041161545,0.6074777631348434,0.8193348365276212,5e-05
4,0.21117974167953824,0.9325486326473076,0.729657205800277,0.8060879368658399,5e-05
5,0.14922296879159286,0.9547504933746829,0.743408298480567,0.8170800450958287,5e-05
6,0.13257834846602842,0.9601071327882718,0.829473775316958,0.7857948139797069,5e-05
7,0.10555952456214604,0.9678601635184663,0.7562839240452596,0.814543404735062,5e-05
8,0.09729600014912833,0.9707499295179024,0.8279712610513711,0.8134160090191658,5e-05
9,0.09098315100987188,0.9717366788835635,0.7845194791589329,0.8148252536640361,5e-05
10,0.03234812673605996,0.9913307020016916,0.7624028337389134,0.8325817361894025,5e-06
11,0.014165629014804879,0.9956301099520721,0.8102598759891563,0.8314543404735062,5e-06
12,0.010975570436369486,0.9961234846349027,0.8402570355043084,0.8322998872604284,5e-06
13,0.010280815664013732,0.99619396673245,0.8506668194266285,0.8359639233370914,5e-06
14,0.008818646559199911,0.9958415562447138,0.8648248470470283,0.8362457722660653,5e-06
15,0.007786225572243267,0.9964054130250917,0.8710712397663608,0.8354002254791432,5e-06
16,0.008030626753728544,0.99619396673245,0.9199468202460217,0.8289177001127396,5e-06
17,0.006822287513909294,0.996546377220186,0.9571193085183352,0.8297632468996617,5e-06
18,0.00751808400188399,0.9957710741471666,0.9287420014769324,0.8331454340473506,5e-06
19,0.006432743064114866,0.9962644488299972,0.9414604966995918,0.8354002254791432,5e-06
20,0.00556445470645971,0.9967578235128277,0.938856227438245,0.8331454340473506,5.000000000000001e-07
21,0.005358707161162754,0.9968987877079222,0.957586135341088,0.8351183765501691,5.000000000000001e-07
22,0.005162306195098071,0.9964054130250917,0.9369727294927952,0.8342728297632469,5.000000000000001e-07
23,0.00513788773251737,0.9967578235128277,0.9420033241156308,0.8339909808342728,5.000000000000001e-07
24,0.0048561999658242785,0.9973216802932056,0.9421875629755968,0.8328635851183765,5.000000000000001e-07
